this_year_bycond,this_year_descrip_e,this_year_descrip_f,last_year_bycond,last_year_descrip_e,last_year_descrip_f
LEVEL3ID = 324,"IFM - ADM Office / ICD - Bureau for International Crime and Terrorism / IOD - Office of Human Rights, Freedoms and Inclusion","IFM - Bureau du SMA / ICD - Bureau du crime international et du terrorisme / IOD - Bureau de les droits de la personne, des libertés et de l'inclusion",LEVEL3ID = 323,"IFMO - IFM ADM Office / IBMO - Business Management Office for the International Security Branch (IFM) / IOD - Human Rights, Freedoms and Inclusion","Bureau du SMA IFM / IBMO - Bureau de la gestion des activités pour le secteur de la Sécurité internationale (IFM) / IOD - Droits de la personne, libertés et inclusion"
LEVEL3ID = 325,IGD - International Security Policy Bureau,IGD - DG politique de sécurité int.,LEVEL3ID = 324,IGD - International Security Policy,IGD - Politique de sécurité internationale
LEVEL3ID = 326,IRD - Peace & Stabilization Operations Pro,IRD - DG Prog pour stab&opérations de paix,LEVEL3ID = 325,IRD - Peace and Stabilization Operations Program,IRD - Programmes pour stabilité et les opérations de paix
LEVEL3ID = 327,IND - Foreign Intelligence Bureau,IND - Direction générale des renseignements extérieures,LEVEL3ID = 326,"IDD - Counter-Terrorism, Crime and Intelligence","IDD - Contre-terrorisme, crime et renseignement"
LEVEL2ID = 210,"DPD - Internationall Assistance Operations / JUS - GAC Legal Services / VBD - Office of the Chief Audit Executive / WPSA - Ambassador for Women, Peace and Security / ZID - Inspection, Integrity and Values & Ethics","DPD - Opérations d'aide internationale / JUS - Services juridiques AMC / VBD - Bureau du dirigeant princ.de l'audit / WPSA - Ambassadrice pour les femmes, la paix et la sécurité / ZID - Direction générale de l'inspection, de l'intégrité, des valeurs et de l'éthique",LEVEL2ID = 209,"DPD - International Assistance Operations / JUS - GAC Legal Services / VBD - Chief Audit Executive / ZID - Inspection, Integrity and Values and Ethics","DPD - Opérations d'aide internationale / JUS - Services juridiques AMC / VBD - Dirigeant principal de la vérification / ZID - Inspection, Intégrité, Valeurs et éthiques"
LEVEL3ID = 328,"DPD - Int'l Assistance Operations Bureau / JUS - GAC Legal Services / VBD - Office of the Chief Audit Executive / WPSA - Ambassador for Women, Peace and Security / ZID - Inspection, Integrity and Values & Ethics Bureau","DPD - Opérations d'aide internationale / JUS - Services juridiques AMC / VBD - Bureau du dirigeant princ.de l'audit / WPSA - Ambassadrice pour les femmes, la paix et la sécurité / ZID - Direction générale de l'inspection, de l'intégrité, des valeurs et de l'éthique",LEVEL3ID = 327,"DPD - International Assistance Operations / JUS - GAC Legal Services / VBD - Chief Audit Executive / ZID - Inspection, Integrity and Values and Ethics","DPD - Opérations d'aide internationale / JUS - Services juridiques AMC / VBD - Dirigeant principal de la vérification / ZID - Inspection, Intégrité, Valeurs et éthiques"
LEVEL2ID = 211,JFM - Legal Adviser,JFM - Juriconsulte,LEVEL2ID = 210,JFM - Legal Affairs,JFM - Affaires juridiques
LEVEL3ID = 329,JLD - Legal Affairs (Deputy Legal Adviser) / JLT - Trade Law (Deputy Legal Adviser),JLD - Affaires juridiques (Jurisconsulte adjoint) / JLT - Droit commercial (Jurisconsulte adjoint),LEVEL3ID = 328,JFM - Legal Adviser / JLD - Legal Affairs / JLT - Trade Law,JFM - Juriconsulte / JLD - Affaires juridiques / JLT - Droit commercial
LEVEL2ID = 212,KFM - Partnerships for Development,KFM - Partenariats pour l'innovation dans le développement,LEVEL2ID = 211,KFM - Partnerships for Development Innovation,KFM - Partenariats pour l'innovation dans le développement
LEVEL3ID = 330,"KFM - ADM Office / KED - Engaging Canadians / KGD - Inc. Growth, Governance & Innovation / KSD - Canadian Part. for Health & Social / KWD - Partnership for Gender Equality","KFM - Bureau du SMA / KED - Mobilisation des Canadiens / KGD - Part. croissance, gouv. & Innovation / KSD - Part. can. pour la santé & dév. soc / KWD - Partenariat pour l'égalité des genres",LEVEL3ID = 329,"KFM ADM Office / KED - Engaging Canadians / KSD - Canadian Partnership for Health and Social Development / KGD - Inclusive Growth, Governance and Innovation",Bureau du SMA KFM / KED - Mobilisation des Canadiens / KSD - Partenariats pour la santé et le développement social / KGD - Partenariats pour la croissance économique durable
LEVEL3ID = 331,LCM - ADM Office / LBMO - Business Management Office for Public Affairs and Special Bureaux / LCA - Development / LCC - Trade / LCD - Strategic Communications,LCM - Bureau du SMA / LBMO - Bureau de la gestion des activités des affaires publiques et bureaux spéciaux / LCA - Développement / LCC - Commerce / LCD - Communications stratégiques,LEVEL3ID = 330,LCM ADM Office / LBMO - Business Management Office for Public Affairs and Special Bureaux / LCA - Development Communications / LCC - Trade Communications,Bureau du SMA LCM / LBMO - Bureau de la gestion des activités des affaires publiques et bureaux spéciaux / LCA - Communications du développement / LCC - Communications du commerce international
LEVEL3ID = 332,LDD - Digital Communications,LDD - Communications numériques,LEVEL3ID = 332,LDD - Corporate and E-Communications,LDD - Communications ministérielles et électroniques
